Completed,Organism_s,Assay_Type_s,AvgSpotLen_l,BioProject_s,BioSample_s,Experiment_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Library_Name_s,LoadDate_s,MBases_l,MBytes_l,Platform_s,ReleaseDate_s,Run_s,SRA_Sample_s,SRA_Study_s,Sample_Name_s,age_s,dev_stage_s,geo_loc_name_s,isolate_s,sex_s,tissue_s,Consent_s
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012609,SRX689286,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,1657,1003,ILLUMINA,8/28/2015,SRR1560931,SRS691780,SRP045871,Acal 1 control skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012610,SRX689347,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2781,1670,ILLUMINA,8/28/2015,SRR1560992,SRS691838,SRP045871,Acal 2 infected skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012611,SRX689348,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2680,1613,ILLUMINA,8/28/2015,SRR1560993,SRS691839,SRP045871,Acal 3 control skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012612,SRX689349,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2397,1446,ILLUMINA,8/28/2015,SRR1560994,SRS691840,SRP045871,Acal 4 cleared skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012613,SRX689350,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2223,1340,ILLUMINA,8/28/2015,SRR1560995,SRS691841,SRP045871,Acal 5 control skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012614,SRX689351,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2358,1416,ILLUMINA,8/28/2015,SRR1560996,SRS691842,SRP045871,Acal 6 control skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012615,SRX689352,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,4010,2445,ILLUMINA,8/28/2015,SRR1560997,SRS691843,SRP045871,Acal 7 cleared skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012616,SRX689353,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,3829,2337,ILLUMINA,8/28/2015,SRR1560998,SRS691844,SRP045871,Acal 8 cleared skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012617,SRX689354,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,4723,2888,ILLUMINA,8/28/2015,SRR1560999,SRS691845,SRP045871,Acal 9 infected skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012618,SRX689355,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2988,1829,ILLUMINA,8/28/2015,SRR1561000,SRS691846,SRP045871,Acal 11 infected skin,not collected,,,,not collected,skin,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012619,SRX689356,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,4457,2879,ILLUMINA,8/28/2015,SRR1561016,SRS691847,SRP045871,Acal 1 control spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012620,SRX689372,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,3019,1960,ILLUMINA,8/28/2015,SRR1561017,SRS691863,SRP045871,Acal 2 infected spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012621,SRX689373,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,3882,2504,ILLUMINA,8/28/2015,SRR1561049,SRS691864,SRP045871,Acal 3 control spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012622,SRX689405,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2024,1322,ILLUMINA,8/28/2015,SRR1561050,SRS691896,SRP045871,Acal 4 cleared spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012623,SRX689406,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,4821,3095,ILLUMINA,8/28/2015,SRR1561051,SRS691897,SRP045871,Acal 5 control spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012624,SRX689407,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2339,1512,ILLUMINA,8/28/2015,SRR1561052,SRS691898,SRP045871,Acal 6 control spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012625,SRX689408,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2820,1822,ILLUMINA,8/28/2015,SRR1561053,SRS691899,SRP045871,Acal 7 cleared spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012626,SRX689409,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,2058,1323,ILLUMINA,8/28/2015,SRR1561054,SRS691900,SRP045871,Acal 8 cleared spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012627,SRX689410,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/28/2014,5524,3632,ILLUMINA,8/28/2015,SRR1561055,SRS691901,SRP045871,Acal 9 infected spleen,not collected,,,,not collected,spleen,public
Yes,Agalychnis callidryas,RNA-Seq,101,PRJNA259743,SAMN03012628,SRX689411,0,Illumina HiSeq 2500,SINGLE,PolyA,TRANSCRIPTOMIC,,8/29/2014,3693,2380,ILLUMINA,8/28/2015,SRR1561056,SRS691902,SRP045871,Acal 11 infected spleen,not collected,,,,not collected,spleen,public
